,Bob,Buldogue Inglês
,Mike,Dachshund
,Costelinha,Poodle
,Jeremias,Pastor Alemão
,Plínio,Labrador
,Touben,Dachshund
,Teca,Pug
,Mel,Spitz Alemão
,Luna,Buldogue Francês
,Marvin,Buldogue Francês
,Chicho,Poodle
,Kiko,Bull Terrier
,,Border Collie
,,Basset Hound
,,Labrador
,,Shih-Tzu
,,Basset Hound
,,Schnauzer
,,Rotweiller
,,Border Collie
,,Yorkshire
,,Labrador
,,Border Collie
,,Poodle
,,Boxer
,,Shih-Tzu
,,Schnauzer
,,Bull Terrier
,,Dobermann
,,Boxer
,,Dobermann
,,Schnauzer
,,Maltês
,,Schnauzer
,,Dobermann
,,Pastor Alemão
,,Labrador
,,Border Collie
,,Dobermann
,,Golden Retriever
,,Shih-Tzu
,,Pastor Alemão
,,Basset Hound
,,Dobermann
,,Shih-Tzu
,,Yorkshire
,,Pug
,,Basset Hound
,,Beagle
,,Yorkshire
,,Pastor Alemão
,,Pastor Alemão
,,Rotweiller
,,Chow Chow
,,Buldogue Francês
,,Maltês
,,Pastor Alemão
,,Pinscher
,,Chow Chow
,,Yorkshire
,,Dobermann
,,Lhasa Apso
,,Yorkshire
,,Buldogue Francês
,,Shih-Tzu
,,Golden Retriever
,,Dobermann
,,Rotweiller
,,Border Collie
,,Pinscher
,,Border Collie
,,Pitbull
,,Buldogue Francês
,,Lhasa Apso
,,Buldogue Inglês
,,Buldogue Francês
,,Dachshund
,,Maltês
,,Lhasa Apso
,,Labrador
,,Buldogue Francês
,,Spitz Alemão
,,Border Collie
,,Border Collie
,,Border Collie
,,Schnauzer
,,Dachshund
,,Poodle
,,Pastor Alemão
,,Yorkshire
,,Golden Retriever
,,Golden Retriever
,,Cocker Spaniel
,,Lhasa Apso
,,Border Collie
,,Spitz Alemão
,,Shih-Tzu
,,Buldogue Inglês
,,Vira-lata
,,Pitbull
